순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
125,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,17,9.79117E+12,77810,810,50
125,(타키·포오의) 이세계 여행사,원작: 캐릭온TV ;그림: 이지운,대원키즈,2023,1,9.79117E+12,77810,810,50
125,(타키·포오의) 이세계 여행사,원작: 캐릭온TV ;그림: 이지운,대원키즈,2023,5,9.79117E+12,77810,810,50
125,빨간내복야코,원작: 빨간내복야코 ;글·그림: 서후,샌드박스네트워크,2023,1,9.79119E+12,74810,810,50
132,생일엔 마라탕,글: 류미정 ;그림: 손수정,밝은미래,2024,2,9.78897E+12,73810,813.7,49
132,(흔한남매) 흔한 게임,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2024,1,9.79117E+12,77810,810,49
132,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,8,9.79119E+12,77890,219,49
132,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,3,9.7912E+12,77890,219,49
136,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,4,9.78893E+12,,,48
136,놓지 마 맞춤법 2 - 불꽃 튀는 본선 속으로,"신태훈 (지은이), 나승훈 (그림), 정상은 (감수)",주니어김영사,2023,2,9.78893E+12,,,48
136,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,28,9.78895E+12,74900,980.2,48
136,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,2,9.79113E+12,74810,813.7,48
136,호랑이 빵집,글: 서지원 ;그림: 홍그림,지학사,2023,2,9.79116E+12,74810,813.7,48
136,의사 어벤저스 :어린이 의학 동화,글: 고희정 ;그림: 조승연,가나문화콘텐츠,2021,19,9.79117E+12,74510,510,48
136,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,29,9.79117E+12,74900,980.2,48
136,(타키포오) 얼렁뚱땅 상식스쿨,원작: 캐릭온TV ;그림: 조수현,대원씨아이,2023,3,9.79117E+12,77810,31,48
136,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,2,9.79119E+12,77890,219,48
136,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,21,9.79119E+12,77900,909,48
136,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,6,9.79119E+12,77890,219,48
136,설민석의 삼국지 대모험,원작: 나관중 ;만화: 스튜디오 담,Dankkum i(단꿈아이),2021,18,9.79119E+12,77820,823.5,48
148,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79116E+12,74830,833.6,47
148,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,1,9.79116E+12,77810,810,47
148,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,3,9.79117E+12,74810,813.7,47
